userno,movieid,rating
0,110.0,5
0,163.0,4
0,129.0,4
0,90.0,4
0,163.0,4
0,140.0,1
0,129.0,2
0,90.0,3
0,88.0,1
0,158.0,3
0,90.0,5
0,181.0,3
0,122.0,3
0,34.0,1
0,16.0,5
0,139.0,3
0,139.0,1
0,132.0,4
0,132.0,2
0,158.0,3
0,57.0,1
0,129.0,5
0,135.0,4
0,198.0,2
0,16.0,1
0,36.0,2
0,181.0,3
0,71.0,3
0,76.0,2
0,147.0,3
0,166.0,2
0,102.0,5
0,192.0,3
0,117.0,4
0,192.0,3
0,48.0,1
0,86.0,5
0,119.0,4
0,67.0,2
0,9.0,1
0,190.0,5
0,188.0,4
0,189.0,4
0,98.0,1
0,17.0,1
0,81.0,4
0,93.0,2
0,5.0,3
0,196.0,4
0,30.0,4
0,41.0,4
0,138.0,5
0,51.0,4
0,182.0,5
0,141.0,3
0,162.0,3
0,191.0,4
0,191.0,4
0,145.0,2
0,99.0,3
0,179.0,3
0,121.0,4
0,14.0,4
0,19.0,3
0,9.0,3
0,99.0,1
0,185,3
0,132,1
0,44,5
0,42,2
0,111,2
0,77,1
0,156,4
0,157,5
0,89,5
0,172,5
0,127,5
0,23,5
0,166,5
0,185,3
0,110,4
0,114,1
0,61,3
0,157,1
0,148,4
0,26,1
0,97,4
0,27,1
0,154,5
0,94,1
0,47,2
0,113,4
1,52.0,3
1,106.0,4
1,28.0,3
1,22.0,1
1,179.0,4
1,52.0,3
1,145.0,2
1,156.0,3
1,195.0,5
1,60.0,2
1,106.0,4
1,31.0,4
1,112,4
1,170,2
1,153,2
1,179,4
1,165,4
1,107,1
1,55,2
1,143,5
2,177.0,2
2,46.0,1
2,145.0,2
2,39.0,5
2,190.0,2
2,94.0,1
2,19.0,2
2,52.0,4
2,179.0,1
2,177.0,4
2,148.0,5
2,161.0,4
2,179.0,3
2,145.0,1
2,52.0,1
2,98.0,3
2,1.0,2
2,111.0,1
2,74.0,3
2,84.0,1
2,106.0,4
2,98.0,1
2,104.0,3
2,14.0,3
2,104.0,5
2,177.0,4
2,31.0,1
2,179.0,5
2,199.0,2
2,148.0,5
2,1.0,2
2,195.0,3
2,14.0,2
2,190.0,1
2,177.0,3
2,145.0,4
2,94.0,2
2,104.0,1
2,28.0,5
2,38.0,1
2,142,1
2,164,5
2,5,5
2,112,3
3,132.0,4
3,147.0,3
3,4.0,1
3,147.0,2
3,76.0,3
3,163.0,5
3,16.0,5
3,129.0,5
3,90.0,5
3,116.0,1
3,86.0,5
3,192.0,1
3,135.0,2
3,6.0,1
3,0.0,2
3,12.0,3
3,0.0,3
3,23.0,3
3,117.0,5
3,23.0,2
3,192.0,5
3,140.0,1
3,86.0,5
3,27.0,3
3,0.0,3
3,36.0,4
3,12.0,5
3,169.0,4
3,82.0,4
3,164.0,5
3,190.0,3
3,57.0,2
3,67.0,5
3,98.0,3
3,59.0,5
3,2.0,3
3,87.0,3
3,115.0,5
3,74.0,5
3,162.0,4
3,98.0,2
3,199.0,4
3,85.0,5
3,104.0,3
3,10.0,4
3,164.0,5
3,15.0,2
3,10.0,5
3,98.0,2
3,141.0,1
3,57.0,4
3,191.0,1
3,107,5
3,120,1
3,83,3
3,89,2
3,84,4
3,53,2
3,148,3
3,193,2
3,28,3
3,118,2
3,18,5
3,173,3
3,61,1
3,51,1
3,103,4
3,29,2
3,40,5
4,116.0,4
4,76.0,3
4,4.0,2
4,198.0,3
4,16.0,4
4,122.0,2
4,44.0,3
4,86.0,1
4,23.0,2
4,192.0,1
4,23.0,3
4,44.0,2
4,69.0,3
4,8.0,4
4,135.0,1
4,48.0,4
4,36.0,3
4,127.0,4
4,136.0,5
4,140.0,5
4,33,5
4,135,1
4,160,3
4,185,2
4,39,3
4,45,1
4,34,3
4,15,2
4,54,1
4,59,2
4,120,2
4,30,3
4,2,5
4,67,5
4,149,5
4,171,4
4,152,5
4,84,3
4,84,3
4,39,3
4,150,3
4,189,5
4,26,3
4,168,4
4,17,1
4,59,5
4,150,2
4,130,4
4,180,4
4,5,3
5,193.0,5
5,9.0,2
5,33.0,2
5,60.0,1
5,91.0,3
5,107.0,3
5,114.0,1
5,25.0,2
5,20.0,2
5,47.0,3
5,75.0,4
5,105.0,2
5,149.0,2
5,84.0,5
5,40.0,5
5,17.0,4
5,123.0,1
5,105.0,5
5,47.0,5
5,189.0,3
5,134.0,1
5,120.0,3
5,189.0,3
5,63.0,4
5,109.0,3
5,78.0,4
5,142.0,4
5,170.0,3
5,183.0,4
5,33.0,2
5,11.0,5
5,186.0,1
5,2.0,4
5,177.0,3
5,123.0,3
5,156.0,4
5,66.0,5
5,114.0,2
5,65.0,5
5,35.0,4
5,11.0,3
5,157.0,1
5,43.0,1
5,175.0,3
5,67.0,3
5,84.0,3
5,9.0,3
5,171.0,2
5,155.0,5
5,11.0,3
5,109.0,2
5,184.0,4
5,88.0,4
5,103.0,5
5,119.0,3
5,25.0,2
5,84.0,4
5,97.0,1
5,114.0,2
5,156.0,3
5,96.0,3
5,61.0,2
5,26.0,1
5,93.0,3
5,94.0,3
5,173.0,5
5,191.0,1
5,67.0,5
5,86.0,1
5,104.0,5
5,81.0,5
5,196.0,3
5,143.0,2
5,31.0,3
5,5.0,1
5,189.0,3
5,94.0,1
5,17.0,3
5,52.0,4
5,144.0,5
5,85.0,4
5,194.0,4
5,10.0,3
5,141.0,1
5,197.0,5
5,98.0,5
5,74.0,1
5,179.0,2
5,55.0,2
5,60.0,1
5,31.0,3
5,179.0,2
5,161.0,2
5,179.0,3
5,9.0,2
5,94.0,2
5,74.0,4
5,38.0,5
5,199.0,3
5,121.0,1
5,119,4
5,36,4
5,92,2
5,58,5
5,58,5
5,125,2
5,147,5
5,39,2
5,123,4
5,108,4
5,20,2
5,181,2
5,51,2
6,142.0,1
6,38.0,1
6,62.0,1
6,121.0,5
6,43.0,5
6,159.0,4
6,60.0,4
6,73.0,2
6,167.0,4
6,183.0,1
6,72.0,1
6,13.0,3
6,85.0,4
6,28.0,5
6,78.0,2
6,29.0,1
6,35.0,5
6,114.0,2
6,106.0,1
6,142.0,2
6,175.0,2
6,99.0,4
6,24.0,1
6,59.0,4
6,160.0,1
6,171.0,5
6,154.0,3
6,149.0,2
6,100.0,1
6,184.0,5
6,18.0,4
6,186.0,1
6,65.0,2
6,180.0,3
6,105.0,3
6,133.0,1
6,34.0,2
6,180.0,2
6,69.0,2
6,159.0,3
6,84.0,4
6,145.0,2
6,164.0,1
6,91.0,2
6,168.0,1
6,37.0,3
6,39.0,1
6,128.0,5
6,32.0,3
6,160.0,5
6,154.0,5
6,174.0,3
6,54.0,2
6,40.0,2
6,88.0,1
6,110.0,3
6,72.0,1
6,165.0,1
6,148.0,5
6,39.0,4
6,26.0,5
6,155.0,1
6,164.0,4
6,106.0,4
6,176.0,2
6,149.0,3
6,133.0,4
6,2.0,1
6,174.0,3
6,62.0,2
6,19.0,1
6,13.0,1
6,32.0,1
6,100.0,4
6,19.0,5
6,2.0,2
6,165.0,2
6,118.0,3
6,69.0,2
6,103.0,2
6,195.0,2
6,33.0,5
6,110.0,5
6,33.0,5
6,156.0,3
6,113.0,2
6,2.0,4
6,135.0,3
6,193.0,3
6,145.0,5
6,161.0,2
6,124.0,4
6,107.0,1
6,195.0,5
6,50.0,4
6,60.0,3
6,64.0,4
6,159.0,5
6,107.0,4
6,130.0,2
6,119.0,2
6,65.0,4
6,145.0,1
6,9.0,4
6,14.0,1
6,187.0,5
6,164.0,1
6,154.0,1
6,149.0,4
6,130.0,2
6,50.0,1
6,27.0,2
6,46.0,5
6,46.0,4
6,12.0,5
6,28.0,3
6,5.0,4
6,177.0,5
6,172.0,2
6,190.0,4
6,197.0,4
6,191.0,2
6,135.0,5
6,46.0,3
6,195.0,4
6,106.0,2
6,191.0,4
6,14.0,3
6,131.0,3
6,191.0,1
6,39.0,4
6,165.0,5
6,181,5
6,178,5
6,73,4
6,71,3
6,60,3
6,64,1
6,174,5
6,133,4
6,103,5
6,153,4
6,159,2
6,187,5
6,136,1
6,26,5
6,58,4
6,29,2
6,92,1
6,32,2
6,22,1
6,146,3
6,149,3
6,197,4
6,133,1
6,105,2
7,163.0,2
7,16.0,5
7,129.0,5
7,16.0,2
7,57.0,4
7,98.0,4
7,196.0,2
7,186.0,1
7,94.0,4
7,194.0,4
7,188.0,1
7,94.0,3
7,133.0,5
7,1.0,5
7,173.0,3
7,37.0,4
7,98.0,1
7,175.0,3
7,93.0,2
7,85.0,4
7,175.0,5
7,93.0,2
7,151.0,1
7,146.0,5
7,173.0,1
7,152.0,5
7,191.0,1
7,74.0,1
7,53.0,1
7,141.0,1
7,191.0,2
7,85.0,4
7,3.0,5
7,182.0,4
7,81.0,3
7,95.0,1
7,169.0,1
7,194.0,2
7,188.0,5
7,196.0,1
7,138.0,1
7,86.0,5
7,17.0,2
7,77.0,5
7,194.0,2
7,74.0,2
7,59.0,3
7,59.0,4
7,152.0,1
7,59.0,1
7,51.0,3
7,101.0,4
7,55.0,2
7,59.0,1
7,77.0,3
7,98.0,4
7,150.0,4
7,77.0,4
7,194.0,1
7,156.0,3
7,141.0,2
7,37.0,5
7,190.0,5
7,179.0,2
7,57.0,2
7,151.0,5
7,185.0,1
7,179.0,1
7,125.0,3
7,190.0,4
7,112.0,3
7,148,1
7,196,4
7,158,1
7,0,3
7,177,4
8,48.0,3
8,140.0,5
8,122.0,1
8,192.0,4
8,166.0,4
8,144.0,5
8,74.0,1
8,59.0,4
8,67.0,3
8,3.0,1
8,10.0,3
8,41.0,4
8,2.0,3
8,190.0,4
8,188.0,4
8,189.0,5
8,87.0,4
8,169.0,3
8,150.0,5
8,108.0,4
8,85.0,3
8,133.0,1
8,53.0,5
